tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
59729	Taeniopygia guttata	100221133	0	live	RPL7		ribosomal protein L7	60S ribosomal protein L7		2	NC_011465.1	124029099	124036586	minus	7		
59729	Taeniopygia guttata	100232255	0	live	MATR3		matrin 3	matrin-3		13							
59729	Taeniopygia guttata	751984	0	live	FOXP1		forkhead box P1	forkhead box protein P1|transcription factor FoxP1		12	NC_011476.1	17199161	17646427	minus	21		
59729	Taeniopygia guttata	100190334	0	live	TBCA		tubulin folding cofactor A	tubulin-specific chaperone A|putative tubulin-specific chaperone A|tubulin-specific chaperone A-like		Z	NC_011493.1	56668968	56681379	plus	3		
59729	Taeniopygia guttata	101233392	0	live	SLC17A6	VGLUT2	solute carrier family 17 member 6	vesicular glutamate transporter 2|solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6		5	NC_011469.1	568497	597407	plus	12		
59729	Taeniopygia guttata	101233082	0	live	GPER1	GPER, GPR30	G protein-coupled estrogen receptor 1	G-protein coupled estrogen receptor 1		14	NC_011478.1	13477510	13478723	minus	1		
59729	Taeniopygia guttata	100526658	0	live	STX1B		syntaxin 1B	syntaxin-1B		LG2	NC_011494.1	88307	89477	minus	2		
59729	Taeniopygia guttata	100232668	0	live	CALB1		calbindin 1	calbindin		2	NC_011465.1	130724215	130742550	minus	11		
59729	Taeniopygia guttata	100228929	0	live	PRL		prolactin	LOW QUALITY PROTEIN: prolactin		2	NC_011465.1	73196070	73211288	minus	6		
59729	Taeniopygia guttata	100227653	0	live	D1DR		dopamine receptor 1d	D(1)-like dopamine receptor		6	NC_011470.1	19013098	19015766	minus	1		
59729	Taeniopygia guttata	100220245	0	live	PLP1	PLP	proteolipid protein 1	myelin proteolipid protein|lipophilin|proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)		4A	NC_011468.1	19582680	19589632	minus	7		
59729	Taeniopygia guttata	100218445	0	live	IGF2		insulin like growth factor 2	insulin-like growth factor II|IGF-II|insulin-like growth factor 2 (somatomedin A)		5	NC_011469.1	13645261	13662110	plus	4		
59729	Taeniopygia guttata	100216357	0	live	TLR4		toll like receptor 4	toll-like receptor 4		17	NC_011481.1	3831647	3837091	plus	3		
59729	Taeniopygia guttata	100191006	0	live	FMR1		fragile X mental retardation 1	fragile X mental retardation protein 1|fragile X mental retardation-like protein		4A	NC_011468.1	14041566	14065612	minus	14		
59729	Taeniopygia guttata	100190794	0	live	DRD3	D3R	dopamine receptor D3	D(3) dopamine receptor|dopamine receptor 3		1	NC_011462.1	95603298	95613965	plus	7		
59729	Taeniopygia guttata	100151694	0	live	CYP17A1		steroidogenic enzyme cytochrome P450 17a-hydroxylase/17,20 lyase										
59729	Taeniopygia guttata	3950802	0	live	ND6		NADH dehydrogenase subunit 6			MT	NC_007897.1	14987	15505	minus	0		
59729	Taeniopygia guttata	3950801	0	live	CYTB		cytochrome b			MT	NC_007897.1	13689	14831	plus	0		
59729	Taeniopygia guttata	3950800	0	live	ND5		NADH dehydrogenase subunit 5			MT	NC_007897.1	11863	13680	plus	0		
59729	Taeniopygia guttata	3950799	0	live	ND4		NADH dehydrogenase subunit 4			MT	NC_007897.1	10278	11655	plus	0		
59729	Taeniopygia guttata	3950798	0	live	ND4L		NADH dehydrogenase subunit 4L			MT	NC_007897.1	9988	10284	plus	0		
59729	Taeniopygia guttata	3950796	0	live	COX3		cytochrome c oxidase subunit III			MT	NC_007897.1	8712	9495	plus	0		
59729	Taeniopygia guttata	3950795	0	live	ATP6		ATP synthase F0 subunit 6			MT	NC_007897.1	8023	8706	plus	0		
59729	Taeniopygia guttata	3950794	0	live	ATP8		ATP synthase F0 subunit 8			MT	NC_007897.1	7865	8032	plus	0		
59729	Taeniopygia guttata	3950793	0	live	COX2		cytochrome c oxidase subunit II			MT	NC_007897.1	7100	7783	plus	0		
59729	Taeniopygia guttata	3950792	0	live	COX1		cytochrome c oxidase subunit I			MT	NC_007897.1	5402	6952	plus	0		
59729	Taeniopygia guttata	3950791	0	live	ND2		NADH dehydrogenase subunit 2			MT	NC_007897.1	4001	5041	plus	0		
59729	Taeniopygia guttata	3950790	0	live	ND1		NADH dehydrogenase subunit 1			MT	NC_007897.1	2801	3778	plus	0		
59729	Taeniopygia guttata	751998	0	live	ESR1	ER	estrogen receptor 1	estrogen receptor|ER-alpha|estradiol receptor|nuclear receptor subfamily 3 group A member 1		3	NC_011466.1	56300088	56480907	minus	9		
59729	Taeniopygia guttata	751997	0	live	NGF		nerve growth factor	beta-nerve growth factor		26	NC_011490.1	684153	688072	plus	2		
59729	Taeniopygia guttata	751981	0	live	NEFM		neurofilament medium	neurofilament medium polypeptide|NF-M|neurofilament, medium polypeptide		22	NC_011486.1	1905166	1910175	minus	3		
59729	Taeniopygia guttata	751778	0	live	NR5A1		nuclear receptor subfamily 5, group A, member 1	steroidogenic factor 1		Un							
59729	Taeniopygia guttata	751585	0	live	CREB1		cAMP responsive element binding protein 1	cyclic AMP-responsive element-binding protein 1		7	NC_011471.1	21302445	21317966	plus	7		
59729	Taeniopygia guttata	751583	0	live	NCALD		neurocalcin delta	neurocalcin-delta		2	NC_011465.1	135600813	135649851	minus	4		
59729	Taeniopygia guttata	100886702	0	live	MIR9-1	tgu-mir-9-1	microRNA 9-1			10	NC_011474.1	12969737	12969809	minus	1		
59729	Taeniopygia guttata	100886624	0	live	MIR140	tgu-mir-140	microRNA 140			11	NC_011475.1	11805159	11805230	plus	1		
59729	Taeniopygia guttata	100224503	0	live	OAZ2		ornithine decarboxylase antizyme 2	ornithine decarboxylase antizyme 2		10	NC_011474.1	3392272	3401577	minus	4		
59729	Taeniopygia guttata	778443	0	live	CHD1W		chromo-helicase DNA-binding protein	chromo-helicase DNA-binding protein		W							
59729	Taeniopygia guttata	100223555	0	live	CYCS		cytochrome c, somatic	cytochrome c		2	NC_011465.1	51594279	51596692	minus	3		
59729	Taeniopygia guttata	100190636	0	live	GAPDH		glyceraldehyde-3-phosphate dehydrogenase	glyceraldehyde-3-phosphate dehydrogenase		1	NC_011462.1	90242163	90245385	minus	11		
59729	Taeniopygia guttata	100190318	0	live	SELENOF	SEP15	selenoprotein F	selenoprotein F|15 kDa selenoprotein		8	NC_011472.1	12485129	12513159	plus	5		
59729	Taeniopygia guttata	751982	0	live	SNAP25		synaptosome associated protein 25	synaptosomal-associated protein 25|SNAP-25b		3	NC_011466.1	24595891	24657667	minus	9		
59729	Taeniopygia guttata	751589	0	live	UCHL1		ubiquitin C-terminal hydrolase L1	ubiquitin carboxyl-terminal hydrolase isozyme L1|putative ubiquitin carboxyl-terminal esterase L1 variant 1|ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)		4	NC_011467.1	47439522	47443656	minus	7		
59729	Taeniopygia guttata	100886762	0	live	MIR10A	tgu-mir-10a	microRNA 10a			7	NC_011471.1	17079281	17079392	plus	1		
59729	Taeniopygia guttata	100218049	0	live	MBNL2		muscleblind like splicing regulator 2	muscleblind-like protein 2|muscleblind-like 2		1	NC_011462.1	40586318	40693238	minus	12		
59729	Taeniopygia guttata	751976	0	live	HINT1		histidine triad nucleotide binding protein 1	histidine triad nucleotide-binding protein 1|PKCI-Z-related protein		Z	NC_011493.1	5941692	5945603	minus	3		
59729	Taeniopygia guttata	100533117	0	live	FEM1C-W		fem-1 homolog c (C. elegans) pseudogene			W							
59729	Taeniopygia guttata	100232276	0	live	FOXP4		forkhead box P4	forkhead box protein P4|transcription factor FoxP4		26	NC_011490.1	4869363	4905212	plus	15		
59729	Taeniopygia guttata	100220804	0	live	HSDL1		hydroxysteroid dehydrogenase like 1	inactive hydroxysteroid dehydrogenase-like protein 1		11	NC_011475.1	6547630	6552153	plus	4		
59729	Taeniopygia guttata	100219518	0	live	DUSP1		dual specificity phosphatase 1	dual specificity protein phosphatase 1		13	NC_011477.1	2261168	2265234	minus	4		
59729	Taeniopygia guttata	100217817	0	live	FEM1C	FEM1C-Z	fem-1 homolog C	protein fem-1 homolog C		Z	NC_011493.1	26928594	26941252	plus	2		
59729	Taeniopygia guttata	100008584	0	live	DMRT1	ANKRD15	doublesex and mab-3 related transcription factor 1	LOW QUALITY PROTEIN: doublesex- and mab-3-related transcription factor 1|ankyrin repeat domain 15		Z	NC_011493.1	65343996	65402499	minus	5		
59729	Taeniopygia guttata	100008583	0	live	NR3C1		nuclear receptor subfamily 3 group C member 1	glucocorticoid receptor|nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)		13	NC_011477.1	750244	809239	plus	9		
59729	Taeniopygia guttata	100008581	0	live	FNTM1		fibronectin type III and transmembrane containing protein 1	fibronectin type III domain-containing protein 9		1	NC_011462.1	33351152	33352960	plus	1		
59729	Taeniopygia guttata	751983	0	live	SYNPR		synaptoporin	synaptoporin		12	NC_011476.1	14238581	14340206	plus	7		
59729	Taeniopygia guttata	751776	0	live	NR3C2		nuclear receptor subfamily 3 group C member 2	mineralocorticoid receptor		4	NC_011467.1	11231988	11421040	plus	10		
59729	Taeniopygia guttata	751775	0	live	GRIA2	GluR2	glutamate ionotropic receptor AMPA type subunit 2	glutamate receptor 2|AMPA GluR2 flop|glutamate receptor AMPA type GluR2 flop|glutamate receptor, ionotropic, AMPA 2		4	NC_011467.1	29223538	29319651	plus	16		
59729	Taeniopygia guttata	100190494	0	live	HBAA		hemoglobin alpha, subunit A	hemoglobin subunit alpha-A|hemoglobin, alpha 1		14	NC_011478.1	2979228	2980023	minus	3		
59729	Taeniopygia guttata	100190047	0	live	HBAD		hemoglobin alpha, subunit D	hemoglobin subunit alpha-D|hemoglobin, alpha 2		14	NC_011478.1	2982197	2983107	minus	3		
59729	Taeniopygia guttata	751582	0	live	SNCA		synuclein alpha	alpha-synuclein|putative alpha-synuclein variant 1|putative alpha-synuclein variant 2|synuclein, alpha (non A4 component of amyloid precursor)		4	NC_011467.1	16654939	16728809	minus	7		
59729	Taeniopygia guttata	100886671	0	live	MIR132	tgu-mir-132	microRNA 132										
59729	Taeniopygia guttata	100886670	0	live	MIR192	tgu-mir-192	microRNA 192			8	NC_011472.1	22188980	22189064	plus	1		
59729	Taeniopygia guttata	100886669	0	live	MIR25	tgu-mir-25	microRNA 25			2	NC_011465.1	142309692	142309770	minus	1		
59729	Taeniopygia guttata	100222413	0	live	GJB2		gap junction protein beta 2	gap junction beta-2 protein|gap junction protein, beta 2, 26kDa		1	NC_011462.1	46188576	46193704	minus	2		
59729	Taeniopygia guttata	100190446	0	live	SELENOT	SELT	selenoprotein T	selenoprotein T		9	NC_011473.1	26904046	26910872	minus	7		
59729	Taeniopygia guttata	100231995	0	live	HTR2C		5-hydroxytryptamine receptor 2C	5-hydroxytryptamine receptor 2C|serotonin receptor 2C		4A	NC_011468.1	20329796	20574332	plus	6		
59729	Taeniopygia guttata	100231073	0	live	HTR2A		5-hydroxytryptamine receptor 2A	5-hydroxytryptamine receptor 2A		1	NC_011462.1	57005412	57027620	plus	3		
59729	Taeniopygia guttata	100228803	0	live	HTR2B		5-hydroxytryptamine receptor 2B	5-hydroxytryptamine receptor 2B		9	NC_011473.1	17257168	17267394	minus	3		
59729	Taeniopygia guttata	100222603	0	live	ZFAND3		zinc finger AN1-type containing 3	AN1-type zinc finger protein 3|zinc finger, AN1-type domain 3		3	NC_011466.1	30474625	30612611	minus	7		
59729	Taeniopygia guttata	100219165	0	live	STAR		steroidogenic acute regulatory protein	steroidogenic acute regulatory protein, mitochondrial		22	NC_011486.1	2792476	2801217	minus	7		
59729	Taeniopygia guttata	100219060	0	live	PNPLA2	ATGL	patatin like phospholipase domain containing 2	patatin-like phospholipase domain-containing protein 2|adipose triglyceride lipase		5	NC_011469.1	15728264	15756525	minus	9		
59729	Taeniopygia guttata	100190498	0	live	OAZ1		ornithine decarboxylase antizyme 1	ornithine decarboxylase antizyme 1		28	NC_011492.1	1719617	1723350	plus	5		
59729	Taeniopygia guttata	100151695	0	live	CYP11A1		cytochrome P450, family 11, subfamily A, polypeptide 1	cholesterol side-chain cleavage enzyme, mitochondrial|mitochondrial cytochrome P450 chlolesterol side chain cleavage		Un							
59729	Taeniopygia guttata	100038820	0	live	TRPV1		transient receptor potential cation channel subfamily V member 1	LOW QUALITY PROTEIN: transient receptor potential cation channel subfamily V member 1		19	NC_011483.1	8166617	8175272	plus	15		
59729	Taeniopygia guttata	751987	0	live	GPR50		G protein-coupled receptor 50	melatonin-related receptor|Mel-1c melatonin receptor		4A	NC_011468.1	12922481	12925015	minus	2		
59729	Taeniopygia guttata	751977	0	live	VIT2		vitellogenin 2	LOW QUALITY PROTEIN: vitellogenin-2		8	NC_011472.1	13136835	13161096	plus	37		
59729	Taeniopygia guttata	751770	0	live	HSD3B1		hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1		1	NC_011462.1	90755090	90763755	minus	4		
59729	Taeniopygia guttata	751588	0	live	MTNR1B		melatonin receptor 1B	melatonin receptor type 1B		1	NC_011462.1	80499434	80532499	minus	4		
59729	Taeniopygia guttata	751586	0	live	MTNR1A		melatonin receptor 1A	melatonin receptor type 1A		4	NC_011467.1	39651380	39701244	minus	2		
59729	Taeniopygia guttata	751989	0	live	RPL17		ribosomal protein L17	60S ribosomal protein L17		Z	NC_011493.1	1212633	1217567	minus	8		
59729	Taeniopygia guttata	751988	0	live	RPL37		ribosomal protein L37	60S ribosomal protein L37		Z	NC_011493.1	43573062	43575640	minus	4		
59729	Taeniopygia guttata	104796137	0	live	MIR1467-2	tgu-mir-1467-2	microRNA 1467-2			Un							
59729	Taeniopygia guttata	102466655	0	live	MIR30E	tgu-mir-30e	microRNA 30e			2	NC_011465.1	149534042	149534120	minus	1		
59729	Taeniopygia guttata	102466160	0	live	MIR1467-1	MIR1467, tgu-mir-1467, tgu-mir-1467-1	microRNA 1467-1	microRNA mir-1467		2	NC_011465.1	142442502	142442594	minus	1		
59729	Taeniopygia guttata	102465237	0	live	MIR1397	tgu-mir-1397	microRNA 1397			1	NC_011462.1	21937138	21937221	plus	1		
59729	Taeniopygia guttata	102465236	0	live	MIR499	tgu-mir-499	microRNA 499			20	NC_011484.1	3206374	3206451	minus	1		
59729	Taeniopygia guttata	102465235	0	live	MIR196	tgu-mir-196	microRNA 196			2	NC_011465.1	52627136	52627210	minus	1		
59729	Taeniopygia guttata	102465234	0	live	MIR183	tgu-mir-183	microRNA 183			1A	NC_011463.1	193617	193692	minus	1		
59729	Taeniopygia guttata	101233463	0	live	ADRA2C		adrenoceptor alpha 2C	alpha-2C adrenergic receptor|adrenergic receptor alpha 2c		4	NC_011467.1	61350578	61366638	minus	2		
59729	Taeniopygia guttata	100231407	0	live	ADRA2A		adrenoceptor alpha 2A	alpha-2A adrenergic receptor|adrenergic receptor alpha 2a		6	NC_011470.1	26059777	26061353	plus	1		
59729	Taeniopygia guttata	100229616	0	live	BMP7		bone morphogenetic protein 7	bone morphogenetic protein 7		20	NC_011484.1	12995356	13034754	plus	7		
59729	Taeniopygia guttata	100221891	0	live	BMP4		bone morphogenetic protein 4	bone morphogenetic protein 4		5	NC_011469.1	59391857	59394321	plus	3		
59729	Taeniopygia guttata	100221468	0	live	ADRA1D		adrenoceptor alpha 1D	alpha-1D adrenergic receptor|adrenergic receptor alpha 1d		4	NC_011467.1	68626393	68670987	plus	2		
59729	Taeniopygia guttata	100218108	0	live	BMP2		bone morphogenetic protein 2	LOW QUALITY PROTEIN: bone morphogenetic protein 2		3	NC_011466.1	25960414	25965182	minus	4		
59729	Taeniopygia guttata	100218097	0	live	BMP6		bone morphogenetic protein 6	bone morphogenetic protein 6		2	NC_011465.1	45065888	45150221	plus	8		
59729	Taeniopygia guttata	100217807	0	live	HBAP	HBZ	hemoglobin alpha, subunit pi	hemoglobin subunit zeta|hemoglobin, zeta		14	NC_011478.1	2985737	2987641	minus	3		
59729	Taeniopygia guttata	751993	0	live	STXBP1		syntaxin binding protein 1	syntaxin-binding protein 1|unc18-1		17	NC_011481.1	2480407	2498377	plus	14		
59729	Taeniopygia guttata	751992	0	live	GABRA1		gamma-aminobutyric acid type A receptor alpha1 subunit	gamma-aminobutyric acid receptor subunit alpha-1|GABA-A receptor alpha-1 subunit|gamma-aminobutyric acid (GABA) A receptor, alpha 2		13	NC_011477.1	12184053	12225707	plus	11		
59729	Taeniopygia guttata	100190480	0	live	FAM213A	SELU	family with sequence similarity 213 member A	redox-regulatory protein FAM213A|selenoprotein U		6	NC_011470.1	10008714	10018229	minus	7		
59729	Taeniopygia guttata	100886775	0	live	MIR2980-1	tgu-mir-2980-1	microRNA 2980-1			2	NC_011465.1	61822032	61822111	minus	1		
59729	Taeniopygia guttata	100886774	0	live	MIR214	tgu-mir-214	microRNA 214			8							
59729	Taeniopygia guttata	100886773	0	live	MIR375	tgu-mir-375	microRNA 375			7	NC_011471.1	10362273	10362344	minus	1		
59729	Taeniopygia guttata	100886772	0	live	MIR490-1	tgu-mir-490-1	microRNA 490-1			Un							
59729	Taeniopygia guttata	100886771	0	live	MIR218-2	tgu-mir-218-2	microRNA 218-2			13	NC_011477.1	14950530	14950660	minus	1		
59729	Taeniopygia guttata	100886770	0	live	MIR124-2	tgu-mir-124-2	microRNA 124-2			3	NC_011466.1	111968090	111968160	plus	1		
59729	Taeniopygia guttata	100886769	0	live	MIR20B	tgu-mir-20b	microRNA 20b			4A	NC_011468.1	7274092	7274164	plus	1		
59729	Taeniopygia guttata	100886768	0	live	MIR133-1	tgu-mir-133-1	microRNA 133-1			2	NC_011465.1	108161719	108161789	minus	1		
59729	Taeniopygia guttata	100886767	0	live	MIR181A-1	tgu-mir-181a-1	microRNA 181a-1			8	NC_011472.1	5108663	5108735	minus	1		
59729	Taeniopygia guttata	100886766	0	live	MIR103-1	tgu-mir-103-1	microRNA 103-1			13	NC_011477.1	14805606	14805718	minus	1		
59729	Taeniopygia guttata	100886765	0	live	MIR124-3	tgu-mir-124-3	microRNA 124-3			20	NC_011484.1	9826516	9826646	minus	1		
59729	Taeniopygia guttata	100886763	0	live	MIR2960	tgu-mir-2960	microRNA 2960			3	NC_011466.1	39458890	39458983	minus	1		
59729	Taeniopygia guttata	100886761	0	live	MIR204-5	tgu-mir-204-5	microRNA 204-5			28							
59729	Taeniopygia guttata	100886760	0	live	MIR135A-2	tgu-mir-135a-2	microRNA 135a-2			26							
59729	Taeniopygia guttata	100886759	0	live	MIR199-2	tgu-mir-199-2	microRNA 199-2			8							
59729	Taeniopygia guttata	100886758	0	live	MIR19A	tgu-mir-19a	microRNA 19a			1	NC_011462.1	43202791	43202860	minus	1		
59729	Taeniopygia guttata	100886757	0	live	MIR147	tgu-mir-147	microRNA 147			10	NC_011474.1	10438197	10438266	plus	1		
59729	Taeniopygia guttata	100886755	0	live	MIR15B	tgu-mir-15b	microRNA 15b			9	NC_011473.1	25555991	25556061	minus	1		
59729	Taeniopygia guttata	100886754	0	live	MIR200B	tgu-mir-200b	microRNA 200b			21	NC_011485.1	5892896	5892968	plus	1		
59729	Taeniopygia guttata	100886753	0	live	MIR16C	tgu-mir-16c	microRNA 16c			4A	NC_011468.1	7178185	7178256	plus	1		
59729	Taeniopygia guttata	100886752	0	live	MIR365-1	tgu-mir-365-1	microRNA 365-1			14	NC_011478.1	6788932	6789003	minus	1		
59729	Taeniopygia guttata	100886751	0	live	MIR199-1	tgu-mir-199-1	microRNA 199-1			17	NC_011481.1	5549805	5549875	plus	1		
59729	Taeniopygia guttata	100886750	0	live	MIR133-3	tgu-mir-133-3	microRNA 133-3			20	NC_011484.1	10480781	10480851	minus	1		
59729	Taeniopygia guttata	100886749	0	live	MIR204-2	tgu-mir-204-2	microRNA 204-2			10	NC_011474.1	5338529	5338600	plus	1		
59729	Taeniopygia guttata	100886748	0	live	MIR23	tgu-mir-23	microRNA 23			Z	NC_011493.1	9900645	9900715	minus	1		
59729	Taeniopygia guttata	100886747	0	live	MIR181B-1	tgu-mir-181b-1	microRNA 181b-1			8	NC_011472.1	5108479	5108552	minus	1		
59729	Taeniopygia guttata	100886746	0	live	MIR194-2	tgu-mir-194-2	microRNA 194-2			Un							
59729	Taeniopygia guttata	100886745	0	live	MIR153-2	tgu-mir-153-2	microRNA 153-2			7	NC_011471.1	10584139	10584210	minus	1		
59729	Taeniopygia guttata	100886744	0	live	MIR2992	tgu-mir-2992	microRNA 2992			Z	NC_011493.1	57612703	57612773	plus	1		
59729	Taeniopygia guttata	100886743	0	live	MIR200A	tgu-mir-200a	microRNA 200a			21	NC_011485.1	5894308	5894400	plus	1		
59729	Taeniopygia guttata	100886742	0	live	MIR33	tgu-mir-33	microRNA 33			1A	NC_011463.1	48937654	48937723	minus	1		
59729	Taeniopygia guttata	100886741	0	live	MIR27	tgu-mir-27	microRNA 27			Z	NC_011493.1	9900324	9900414	minus	1		
59729	Taeniopygia guttata	100886740	0	live	MIR122	tgu-mir-122	microRNA 122			Z							
59729	Taeniopygia guttata	100886739	0	live	MIR2989-1	tgu-mir-2989-1	microRNA 2989-1			8	NC_011472.1	3326534	3326623	minus	1		
59729	Taeniopygia guttata	100886738	0	live	MIR103-2	tgu-mir-103-2	microRNA 103-2			4	NC_011467.1	68894825	68894897	minus	1		
59729	Taeniopygia guttata	100886737	0	live	MIRLET7C-1	tgu-let-7c-1	microRNA let-7c-1			1	NC_011462.1	109662682	109662773	plus	1		
59729	Taeniopygia guttata	100886736	0	live	MIR19B-2	tgu-mir-19b-2	microRNA 19b-2			4A	NC_011468.1	7274224	7274296	plus	1		
59729	Taeniopygia guttata	100886735	0	live	MIR222-2	tgu-mir-222-2	microRNA 222-2			Un							
59729	Taeniopygia guttata	100886734	0	live	MIR100-1	tgu-mir-100-1	microRNA 100-1			24	NC_011488.1	3146829	3146939	minus	1		
59729	Taeniopygia guttata	100886733	0	live	MIR101-2	tgu-mir-101-2	microRNA 101-2			8	NC_011472.1	26300517	26300588	minus	1		
59729	Taeniopygia guttata	100886732	0	live	MIR30B	tgu-mir-30b	microRNA 30b			3	NC_011466.1	84719838	84719910	plus	1		
59729	Taeniopygia guttata	100886731	0	live	MIR9-2	tgu-mir-9-2	microRNA 9-2			Z	NC_011493.1	12103943	12104015	minus	1		
59729	Taeniopygia guttata	100886727	0	live	MIR2972	tgu-mir-2972	microRNA 2972			2	NC_011465.1	61107767	61107870	minus	1		
59729	Taeniopygia guttata	100886726	0	live	MIR460B	tgu-mir-460b	microRNA 460b			4A	NC_011468.1	20408530	20408636	plus	1		
59729	Taeniopygia guttata	100886725	0	live	MIR1803	tgu-mir-1803	microRNA 1803			2	NC_011465.1	97931879	97931967	plus	1		
59729	Taeniopygia guttata	100886724	0	live	MIR219B	MIR2964, tgu-mir-219b, tgu-mir-2964	microRNA 219b	microRNA mir-2964		17	NC_011481.1	5454921	5455078	minus	1		
